SKU Muestra,Type,Life,Category,Safety factor,Forecast error M,Lead time (m),RLT error (%),Safety stock (days)
SKU289,HARMONIZED,50,Nail Makeup,1.48,0.29,0.97,0.3,13.28
SKU290,HARMONIZED,50,Nail Makeup,2.33,0.42,1.03,0.3,20.94
SKU291,HARMONIZED,50,Nail Makeup,1.88,0.42,0.97,0.3,16.93
SKU292,HARMONIZED,50,Nail Makeup,2.33,0.17,0.97,0.3,20.94
SKU293,HARMONIZED,50,Nail Makeup,1.48,0.65,1.03,0.3,13.28
SKU294,HARMONIZED,50,Nail Makeup,2.33,0.4,0.97,0.3,20.94
SKU295,HARMONIZED,50,Nail Makeup,1.88,0.55,0.97,0.3,16.93
SKU296,HARMONIZED,50,Face Makeup,1.48,0.04,1.1,0.33,14.76
SKU297,HARMONIZED,50,Face Makeup,1.48,0,1.1,0.33,14.76
SKU298,HARMONIZED,50,Face Makeup,1.48,0.42,1.1,0.33,14.76
SKU299,HARMONIZED,50,Face Makeup,2.33,0.26,1.1,0.2,13.96
SKU300,HARMONIZED,50,Face Makeup,1.88,0.29,1.1,0.2,11.28
SKU301,HARMONIZED,50,Face Makeup,2.33,0.4,1.1,0.2,13.96
SKU302,HARMONIZED,50,Face Makeup,2.33,0.68,1.1,0.2,13.96
SKU303,HARMONIZED,50,Face Makeup,1.88,0.31,1.1,0.2,11.28
SKU304,HARMONIZED,50,Eye Makeup,1.88,0.31,1.1,0.17,9.4
SKU305,HARMONIZED,50,Nail Makeup,1.48,0.57,1.03,0.3,13.28
SKU306,HARMONIZED,50,Nail Makeup,1.88,0.53,0.97,0.3,16.93
SKU307,HARMONIZED,50,Nail Makeup,2.33,0.56,0.97,0.3,20.94
SKU308,HARMONIZED,50,Nail Makeup,1.88,0.64,0.97,0.3,16.93
SKU309,HARMONIZED,50,Nail Makeup,2.33,0.34,0.97,0.33,23.26
SKU310,HARMONIZED,50,Nail Makeup,2.33,0.16,0.97,0.33,23.26
SKU311,HARMONIZED,50,Lip Makeup,1.88,0.33,1.1,0.23,13.17
SKU312,HARMONIZED,50,Lip Makeup,1.88,0.96,1.1,0.23,13.17
SKU313,HARMONIZED,50,Nail Makeup,1.88,0.75,0.97,0.33,18.81
SKU314,HARMONIZED,50,Nail Makeup,1.88,0.61,0.97,0.33,18.81
SKU315,HARMONIZED,50,Nail Makeup,1.88,0.48,0.97,0.33,18.81
SKU316,HARMONIZED,50,Nail Makeup,1.48,0.6,0.97,0.33,14.76
SKU317,HARMONIZED,50,Nail Makeup,1.88,0.38,0.97,0.33,18.81
SKU318,HARMONIZED,50,Eye Makeup,2.33,0.31,6.43,0.3,20.94
SKU319,HARMONIZED,50,Eye Makeup,1.88,0.28,1.1,0.23,13.17
SKU320,HARMONIZED,50,Lip Makeup,1.48,2.87,1.1,0.2,8.85
